sample_position,rule_id,method,rule_length,topk_antecedent_agreement,signed_direction_agreement,spearman_rule_salience,surrogate_predicted_class,true_label
4917,R0021,LIME-style,4,0.5,0.5,0.4121120667911454,48,48
4917,R0021,SHAP-style,4,0.25,0.75,0.15454202504667952,48,48
5019,R0026,LIME-style,4,0.25,0.5,-0.02575700417444659,14,14
5019,R0026,SHAP-style,4,0.5,0.5,0.2575700417444659,14,14
6487,R0027,LIME-style,4,0.0,0.25,-0.4121120667911454,42,5
6487,R0027,SHAP-style,4,0.0,0.5,-0.15454202504667952,42,5
4327,R0034,LIME-style,4,0.0,0.6666666666666666,-0.2060560333955727,19,33
4327,R0034,SHAP-style,4,0.0,0.6666666666666666,-0.15454202504667952,19,33
6955,R0013,LIME-style,4,0.5,0.6666666666666666,0.4893830793144852,26,26
6955,R0013,SHAP-style,4,0.25,0.6666666666666666,0.30908405009335904,26,26
1867,R0038,LIME-style,4,0.0,1.0,-0.2060560333955727,37,37
1867,R0038,SHAP-style,4,0.25,0.3333333333333333,-0.07727101252333976,37,37
6098,R0036,LIME-style,4,0.0,0.75,-0.5408970876633784,7,5
6098,R0036,SHAP-style,4,0.0,0.75,-0.10302801669778636,7,5
7291,R0015,LIME-style,4,0.25,0.5,0.2318130375700193,22,22
7291,R0015,SHAP-style,4,0.25,0.5,-0.02575700417444659,22,22
1548,R0016,LIME-style,3,0.3333333333333333,0.6666666666666666,0.2729648400830565,23,23
1548,R0016,SHAP-style,3,0.3333333333333333,1.0,0.41663054538992833,23,23
2746,R0027,LIME-style,4,0.25,0.25,0.0,1,31
2746,R0027,SHAP-style,4,0.25,0.75,0.18029902922112614,1,31
4499,R0048,LIME-style,4,0.25,0.6666666666666666,0.07727101252333976,30,18
4499,R0048,SHAP-style,4,0.5,0.0,0.2833270459189125,30,18
6301,R0038,LIME-style,4,0.0,0.0,-0.12878502087223295,6,0
6301,R0038,SHAP-style,4,0.0,0.6666666666666666,0.0,6,0
6814,R0027,LIME-style,4,0.0,0.5,-0.5408970876633784,21,21
6814,R0027,SHAP-style,4,0.25,0.25,-0.05151400834889318,21,21
2108,R0011,LIME-style,3,0.0,1.0,-0.3304311222058053,42,42
2108,R0011,SHAP-style,3,0.3333333333333333,0.6666666666666666,-0.07183285265343593,42,42
4961,R0043,LIME-style,4,0.0,0.5,-0.4893830793144852,38,38
4961,R0043,SHAP-style,4,0.0,0.25,-0.12878502087223295,38,38
3983,R0035,LIME-style,4,0.25,0.3333333333333333,0.30908405009335904,39,32
3983,R0035,SHAP-style,4,0.5,0.3333333333333333,0.4893830793144852,39,32
5926,R0015,LIME-style,4,0.75,1.0,0.3605980584422523,39,22
5926,R0015,SHAP-style,4,0.5,0.0,0.02575700417444659,39,22
288,R0028,LIME-style,4,0.0,1.0,-0.33484105426780564,44,44
288,R0028,SHAP-style,4,0.0,0.6666666666666666,-0.15454202504667952,44,44
2063,R0036,LIME-style,4,0.0,0.75,-0.6181681001867181,7,9
2063,R0036,SHAP-style,4,0.0,0.75,-0.05151400834889318,7,9
146,R0021,LIME-style,4,0.5,0.75,0.566654091837825,6,48
146,R0021,SHAP-style,4,1.0,1.0,0.7211961168845046,6,48
412,R0030,LIME-style,4,0.0,0.6666666666666666,-0.2833270459189125,18,48
412,R0030,SHAP-style,4,0.25,0.6666666666666666,-0.18029902922112614,18,48
5694,R0034,LIME-style,4,0.5,0.3333333333333333,0.30908405009335904,37,37
5694,R0034,SHAP-style,4,0.5,0.3333333333333333,0.4121120667911454,37,37
5206,R0034,LIME-style,4,0.25,1.0,-0.10302801669778636,6,0
5206,R0034,SHAP-style,4,0.25,0.3333333333333333,0.0,6,0
6057,R0020,LIME-style,6,0.3333333333333333,0.5,-0.09086217008485094,28,25
6057,R0020,SHAP-style,6,0.3333333333333333,0.6666666666666666,0.11357771260606365,28,25
6409,R0028,LIME-style,4,0.0,0.3333333333333333,-0.437869070965592,35,33
6409,R0028,SHAP-style,4,0.25,0.3333333333333333,-0.2318130375700193,35,33
3972,R0004,LIME-style,5,0.4,0.5,0.03586112771605099,37,37
3972,R0004,SHAP-style,5,0.2,0.5,-0.08367596467078565,37,37
3290,R0036,LIME-style,4,0.0,0.75,-0.566654091837825,7,47
3290,R0036,SHAP-style,4,0.0,0.75,-0.02575700417444659,7,47
2568,R0034,LIME-style,4,0.25,1.0,-0.18029902922112614,6,15
2568,R0034,SHAP-style,4,0.25,0.3333333333333333,-0.18029902922112614,6,15
966,R0028,LIME-style,4,0.5,1.0,0.4636260751400386,22,41
966,R0028,SHAP-style,4,0.5,0.3333333333333333,0.4121120667911454,22,41
5794,R0048,LIME-style,4,0.0,0.6666666666666666,-0.05151400834889318,23,27
5794,R0048,SHAP-style,4,0.0,0.3333333333333333,-0.07727101252333976,23,27
6591,R0028,LIME-style,4,0.25,0.3333333333333333,-0.07727101252333976,1,1
6591,R0028,SHAP-style,4,0.25,0.6666666666666666,0.07727101252333976,1,1
3992,R0021,LIME-style,4,0.5,0.75,0.6181681001867181,6,48
3992,R0021,SHAP-style,4,1.0,1.0,0.7211961168845046,6,48
3375,R0044,LIME-style,4,0.25,0.5,-0.30908405009335904,36,48
3375,R0044,SHAP-style,4,0.0,0.5,-0.5151400834889318,36,48
143,R0022,LIME-style,4,0.75,0.75,0.6696821085356113,17,49
143,R0022,SHAP-style,4,0.75,0.75,0.6954391127100579,17,49
765,R0036,LIME-style,4,0.0,0.0,-0.4636260751400386,26,40
765,R0036,SHAP-style,4,0.0,0.5,-0.38635506261669883,26,40
6466,R0027,LIME-style,4,0.25,0.75,-0.33484105426780564,7,7
6466,R0027,SHAP-style,4,0.25,0.75,-0.02575700417444659,7,7
2798,R0036,LIME-style,4,0.0,0.0,-0.4893830793144852,26,26
2798,R0036,SHAP-style,4,0.25,0.5,-0.10302801669778636,26,26
4403,R0053,LIME-style,4,0.25,1.0,-0.12878502087223295,21,31
4403,R0053,SHAP-style,4,0.0,0.0,0.10302801669778636,21,31
1721,R0021,LIME-style,4,0.5,0.75,0.2575700417444659,30,6
1721,R0021,SHAP-style,4,0.5,0.5,0.30908405009335904,30,6
4943,R0008,LIME-style,4,0.0,0.3333333333333333,-0.437869070965592,28,28
4943,R0008,SHAP-style,4,0.25,1.0,-0.2060560333955727,28,28
2908,R0008,LIME-style,4,0.0,0.3333333333333333,-0.3605980584422523,28,28
2908,R0008,SHAP-style,4,0.25,1.0,-0.18029902922112614,28,28
4851,R0014,LIME-style,2,0.5,1.0,0.06814662756363819,44,44
4851,R0014,SHAP-style,2,0.5,1.0,0.30665982403637193,44,44
408,R0021,LIME-style,4,0.5,0.75,0.5408970876633784,6,6
408,R0021,SHAP-style,4,1.0,1.0,0.7211961168845046,6,6
6511,R0052,LIME-style,4,0.0,0.5,-0.3605980584422523,39,39
6511,R0052,SHAP-style,4,0.0,0.25,-0.4636260751400386,39,39
2062,R0021,LIME-style,4,0.5,0.75,0.5408970876633784,6,15
