signature,support,majority_label,majority_count,purity,n_labels,is_deterministic,label_counts
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2)",72,6,34,0.4722222222222222,7,False,"{6: 34, 48: 22, 20: 9, 15: 2, 22: 2, 0: 2, 36: 1}"
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2)",61,6,45,0.7377049180327869,6,False,"{6: 45, 20: 6, 48: 5, 15: 2, 0: 2, 18: 1}"
"(0, 0, 3, 0, 1, 1, 3, 0, 3, 3, 0, 3, 3, 1, 0, 0, 0, 2)",61,49,44,0.7213114754098361,5,False,"{49: 44, 17: 8, 2: 7, 46: 1, 8: 1}"
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",56,0,32,0.5714285714285714,4,False,"{0: 32, 39: 21, 48: 2, 41: 1}"
"(3, 3, 0, 0, 2, 0, 0, 3, 0, 0, 1, 1, 1, 0, 2, 1, 1, 1)",53,37,53,1.0,1,True,{37: 53}
"(3, 3, 0, 0, 2, 0, 0, 3, 0, 0, 1, 0, 0, 0, 2, 1, 1, 1)",49,37,49,1.0,1,True,{37: 49}
"(0, 1, 0, 1, 1, 0, 0, 2, 0, 1, 1, 1, 1, 3, 0, 0, 2, 0)",49,28,49,1.0,1,True,{28: 49}
"(0, 3, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2)",49,48,23,0.46938775510204084,5,False,"{48: 23, 20: 10, 22: 9, 36: 5, 6: 2}"
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2)",48,6,23,0.4791666666666667,6,False,"{6: 23, 48: 13, 20: 7, 39: 3, 36: 1, 15: 1}"
"(0, 0, 3, 0, 1, 1, 3, 0, 3, 3, 0, 3, 3, 0, 0, 0, 0, 2)",46,17,17,0.3695652173913043,4,False,"{17: 17, 49: 13, 2: 10, 8: 6}"
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2)",44,6,26,0.5909090909090909,3,False,"{6: 26, 20: 13, 48: 5}"
"(3, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1)",43,37,43,1.0,1,True,{37: 43}
"(3, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 1, 1, 0, 2, 1, 1, 1)",42,37,42,1.0,1,True,{37: 42}
"(2, 1, 0, 2, 2, 2, 0, 3, 0, 0, 1, 0, 0, 0, 2, 2, 1, 1)",39,12,39,1.0,1,True,{12: 39}
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",39,39,13,0.3333333333333333,6,False,"{39: 13, 48: 12, 0: 10, 6: 2, 20: 1, 22: 1}"
"(1, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",37,0,32,0.8648648648648649,2,False,"{0: 32, 39: 5}"
"(1, 0, 0, 1, 0, 1, 0, 2, 0, 0, 3, 0, 0, 1, 3, 0, 3, 1)",34,19,27,0.7941176470588235,2,False,"{19: 27, 24: 7}"
"(3, 3, 0, 0, 2, 0, 0, 3, 0, 0, 1, 0, 0, 0, 2, 2, 1, 1)",33,37,33,1.0,1,True,{37: 33}
"(3, 3, 0, 0, 2, 0, 0, 3, 0, 0, 1, 0, 1, 0, 2, 1, 1, 1)",33,37,33,1.0,1,True,{37: 33}
"(1, 0, 0, 2, 0, 1, 0, 2, 0, 0, 3, 0, 0, 1, 3, 0, 3, 1)",33,19,24,0.7272727272727273,2,False,"{19: 24, 24: 9}"
"(2, 1, 0, 3, 2, 3, 0, 3, 0, 0, 1, 0, 0, 0, 2, 3, 2, 0)",32,12,27,0.84375,2,False,"{12: 27, 14: 5}"
"(1, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2)",32,6,21,0.65625,7,False,"{6: 21, 48: 4, 18: 2, 15: 2, 27: 1, 20: 1, 0: 1}"
"(2, 1, 0, 2, 2, 3, 0, 3, 0, 0, 1, 0, 0, 0, 2, 3, 1, 1)",31,12,29,0.9354838709677419,2,False,"{12: 29, 14: 2}"
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 1, 0, 0, 0, 1, 1, 1, 2)",31,6,20,0.6451612903225806,6,False,"{6: 20, 48: 4, 20: 4, 27: 1, 18: 1, 15: 1}"
"(1, 3, 1, 0, 1, 0, 1, 3, 1, 1, 0, 1, 1, 0, 1, 0, 1, 2)",31,18,11,0.3548387096774194,6,False,"{18: 11, 27: 10, 36: 5, 48: 3, 20: 1, 15: 1}"
"(1, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",30,0,24,0.8,4,False,"{0: 24, 39: 3, 4: 2, 48: 1}"
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1)",30,39,17,0.5666666666666667,4,False,"{39: 17, 0: 10, 48: 2, 15: 1}"
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 1, 0, 0, 0, 1, 0, 1, 2)",30,6,14,0.4666666666666667,7,False,"{6: 14, 15: 5, 48: 5, 18: 2, 20: 2, 27: 1, 41: 1}"
"(1, 3, 0, 0, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 1, 0, 1, 2)",30,18,10,0.3333333333333333,7,False,"{18: 10, 27: 7, 36: 5, 48: 3, 15: 3, 20: 1, 6: 1}"
"(1, 3, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2)",29,36,7,0.2413793103448276,6,False,"{36: 7, 27: 6, 18: 6, 20: 5, 48: 3, 6: 2}"
