rule_id,antecedent,antecedent_text,consequent,consequent_name,support,confidence,coverage,conflict_count,antecedent_length,original_antecedent_length,source,covered_indices_sample
R0001,"{'3': 2, '5': 2, '13': 0, '15': 2}",paws=s2 AND hunter=s2 AND small=s0 AND yellow=s2,12,tiger,115,0.8956521739130435,0.005135533425624079,12,4,18,strict_lower,"[228, 744, 774, 1214, 1366, 1370, 1658, 1829, 1921, 2403, 2454, 2512, 3048, 3071, 3170, 3292, 3766, 3895, 4256, 4562]"
R0002,"{'0': 2, '1': 1, '3': 3, '10': 1, '13': 0, '16': 2}",stripes=s2 AND hooves=s1 AND paws=s3 AND hands=s1 AND small=s0 AND furry=s2,12,tiger,63,0.873015873015873,0.002813379180994061,8,6,18,boundary_high_confidence,"[229, 302, 569, 1544, 1673, 1791, 2118, 3199, 3379, 3380, 3414, 3735, 3823, 4343, 4478, 5396, 6458, 6785, 6879, 7525]"
R0003,"{'0': 1, '1': 3, '3': 0, '10': 0, '13': 1, '15': 1}",stripes=s1 AND hooves=s3 AND paws=s0 AND hands=s0 AND small=s1 AND yellow=s1,0,antelope,132,0.8712121212121212,0.005894699236368508,17,6,18,boundary_high_confidence,"[7, 490, 645, 889, 961, 1082, 1573, 1657, 1690, 1946, 1954, 1971, 2317, 2339, 2594, 2856, 2943, 3049, 3106, 3194]"
R0004,"{'5': 0, '8': 0, '13': 0, '14': 2, '15': 1}",hunter=s0 AND water=s0 AND small=s0 AND jungle=s2 AND yellow=s1,37,zebra,434,0.8663594470046083,0.019381056580181306,58,5,18,strict_lower,"[31, 39, 105, 171, 333, 387, 517, 561, 587, 591, 629, 642, 787, 835, 865, 935, 975, 1047, 1150, 1174]"
R0005,"{'1': 1, '2': 0, '3': 2, '13': 0, '16': 1}",hooves=s1 AND swims=s0 AND paws=s2 AND small=s0 AND furry=s1,12,tiger,163,0.8650306748466258,0.0072790604206671725,22,5,18,boundary_high_confidence,"[216, 228, 239, 331, 521, 744, 755, 774, 1226, 1370, 1371, 1658, 1943, 2428, 2471, 2476, 2512, 2652, 3071, 3292]"
R0006,"{'3': 3, '5': 1, '8': 1, '13': 1, '16': 3}",paws=s3 AND hunter=s1 AND water=s1 AND small=s1 AND furry=s3,38,giant panda,160,0.8625,0.00714508998347698,22,5,18,strict_lower,"[71, 393, 430, 680, 760, 822, 978, 1018, 1496, 1616, 1728, 2651, 2902, 2944, 3255, 3435, 3455, 3729, 3855, 3951]"
R0007,"{'1': 3, '4': 2, '5': 0, '15': 2}",hooves=s3 AND longneck=s2 AND hunter=s0 AND yellow=s2,37,zebra,146,0.8561643835616438,0.006519894609922743,21,4,18,strict_lower,"[182, 397, 421, 707, 1087, 1208, 1373, 1433, 1559, 1626, 1707, 1718, 1853, 2121, 2208, 2332, 2366, 2612, 2673, 2713]"
R0008,"{'3': 1, '8': 0, '13': 3, '15': 0}",paws=s1 AND water=s0 AND small=s3 AND yellow=s0,28,rabbit,247,0.854251012145749,0.011030232661992587,36,4,18,strict_lower,"[126, 165, 329, 364, 395, 407, 465, 536, 559, 598, 609, 709, 883, 1046, 1090, 1151, 1159, 1173, 1292, 1402]"
R0009,"{'3': 1, '15': 3}",paws=s1 AND yellow=s3,30,giraffe,443,0.8487584650112867,0.019782967891751886,67,2,18,strict_lower,"[2, 96, 224, 275, 347, 392, 394, 496, 558, 576, 585, 586, 745, 769, 870, 894, 936, 991, 1089, 1103]"
R0010,"{'1': 1, '2': 0, '3': 2, '5': 2, '8': 0, '13': 0}",hooves=s1 AND swims=s0 AND paws=s2 AND hunter=s2 AND water=s0 AND small=s0,12,tiger,104,0.8461538461538461,0.004644308489260037,16,6,18,strict_lower,"[228, 331, 744, 774, 1370, 1371, 1658, 2428, 2512, 3071, 3292, 3567, 3766, 4256, 4450, 4562, 4822, 4970, 5341, 5451]"
