attribute_index,threshold
10,0.008719213
10,0.405322784
10,0.5762822868
20,0.0402465231
20,0.2365550151
20,0.7079253266
36,0.0252115715
36,0.1929561684
36,0.5614631759
22,0.2185060718
22,0.4264883342
22,0.7955004177
24,0.0941272748
24,0.3708534743
24,0.688146179
58,0.0754340475
58,0.1760206172
58,0.4549374663
73,0.00361352
73,0.103940881
73,0.4881296991
45,0.3475854371
45,0.6268410292
45,0.8518840512
75,0.011373123
75,0.1865365876
75,0.6382241637
18,0.0039743268
18,0.1591275683
18,0.4379881118
19,0.0290362963
19,0.0683704375
19,0.136900298
53,0.0253989117
53,0.2305130283
53,0.4152954214
60,0.0016229744
60,0.2100512586
60,0.4008822208
15,0.171836874
15,0.3245943837
15,0.4580164782
71,0.0537229142
71,0.2971672125
71,0.6849950467
7,0.0518973456
7,0.2994439272
7,0.3790051452
11,0.2603799486
11,0.5481429116
11,0.8094422084
13,0.1969536323
13,0.4199787064
13,0.7106655738
