class_index,class_name,n_objects,prototype_accuracy,symbolic_template_accuracy,mean_hamming
22,sheep,1420,0.5908450704225352,0.14647887323943662,0.4948748043818466
49,dolphin,946,0.10676532769556026,0.20613107822410148,0.2762508809020437
29,bat,383,0.0,0.36553524804177545,0.5909486510008704
23,seal,988,0.27530364372469635,0.23279352226720648,0.5492577597840756
8,blue whale,174,0.9195402298850575,0.8850574712643678,0.18582375478927204
33,rat,310,0.7967741935483871,0.6129032258064516,0.5637992831541219
6,horse,1645,0.8285714285714286,0.5768996960486322,0.4966565349544073
46,walrus,215,0.3674418604651163,0.10232558139534884,0.5354005167958655
30,giraffe,1202,0.018302828618968387,0.06988352745424292,0.5972453318543169
40,bobcat,630,0.9396825396825397,0.7952380952380952,0.5134038800705467
