rule_id,class,antecedent,support,confidence,length
SC0001,0,"{1: 3, 15: 2, 14: 1, 10: 0}",66,0.4090909090909091,4
SC0002,0,"{1: 3, 15: 2, 14: 1, 10: 0}",66,0.4090909090909091,4
SC0003,0,"{1: 3, 15: 2, 14: 1, 10: 0}",66,0.4090909090909091,4
SC0004,0,"{1: 3, 15: 2, 14: 1, 10: 0}",66,0.4090909090909091,4
SC0005,1,"{8: 2, 5: 3, 1: 1}",22,0.8181818181818182,3
SC0006,1,"{8: 2, 5: 3, 1: 1}",22,0.8181818181818182,3
SC0007,1,"{8: 2, 5: 3, 1: 1}",22,0.8181818181818182,3
SC0008,1,"{8: 2, 5: 3, 1: 1}",22,0.8181818181818182,3
SC0009,2,"{11: 3, 10: 1, 13: 1, 5: 1}",82,0.2682926829268293,4
SC0010,2,"{11: 3, 10: 1, 13: 1, 5: 1}",82,0.2682926829268293,4
SC0011,2,"{11: 3, 10: 1, 13: 1, 5: 1}",82,0.2682926829268293,4
SC0012,2,"{11: 3, 10: 1, 13: 1, 5: 1}",82,0.2682926829268293,4
SC0013,3,"{9: 2, 6: 1}",96,0.19791666666666666,2
SC0014,3,"{9: 2, 6: 1}",96,0.19791666666666666,2
SC0015,3,"{9: 2, 6: 1}",96,0.19791666666666666,2
SC0016,3,"{9: 2, 6: 1}",96,0.19791666666666666,2
SC0017,4,"{0: 2, 15: 0, 13: 0}",103,0.6893203883495146,3
SC0018,4,"{0: 2, 15: 0, 13: 0}",103,0.6893203883495146,3
SC0019,4,"{0: 2, 15: 0, 13: 0}",103,0.6893203883495146,3
SC0020,4,"{0: 2, 15: 0, 13: 0}",103,0.6893203883495146,3
SC0021,5,"{13: 2, 10: 0, 14: 1, 5: 2}",101,0.693069306930693,4
SC0022,5,"{13: 2, 10: 0, 14: 1, 5: 2}",101,0.693069306930693,4
SC0023,5,"{13: 2, 10: 0, 14: 1, 5: 2}",101,0.693069306930693,4
SC0024,5,"{13: 2, 10: 0, 14: 1, 5: 2}",101,0.693069306930693,4
SC0025,6,"{4: 3, 17: 2}",385,0.9272727272727272,2
SC0026,6,"{4: 3, 17: 2}",385,0.9272727272727272,2
SC0027,6,"{4: 3, 17: 2}",385,0.9272727272727272,2
SC0028,6,"{4: 3, 17: 2}",385,0.9272727272727272,2
SC0029,7,"{16: 2, 13: 1, 5: 2, 10: 0}",120,0.4,4
SC0030,7,"{16: 2, 13: 1, 5: 2, 10: 0}",120,0.4,4
SC0031,7,"{16: 2, 13: 1, 5: 2, 10: 0}",120,0.4,4
SC0032,7,"{16: 2, 13: 1, 5: 2, 10: 0}",120,0.4,4
SC0033,8,"{11: 3, 13: 0, 10: 0, 5: 1}",359,0.1392757660167131,4
SC0034,8,"{11: 3, 13: 0, 10: 0, 5: 1}",359,0.1392757660167131,4
SC0035,8,"{11: 3, 13: 0, 10: 0, 5: 1}",359,0.1392757660167131,4
SC0036,8,"{11: 3, 13: 0, 10: 0, 5: 1}",359,0.1392757660167131,4
SC0037,9,"{13: 2, 10: 0, 16: 3, 14: 0}",105,0.5142857142857142,4
SC0038,9,"{13: 2, 10: 0, 16: 3, 14: 0}",105,0.5142857142857142,4
SC0039,9,"{13: 2, 10: 0, 16: 3, 14: 0}",105,0.5142857142857142,4
SC0040,9,"{13: 2, 10: 0, 16: 3, 14: 0}",105,0.5142857142857142,4
SC0041,10,"{0: 2, 13: 2, 5: 0, 3: 3}",31,0.7419354838709677,4
SC0042,10,"{0: 2, 13: 2, 5: 0, 3: 3}",31,0.7419354838709677,4
SC0043,10,"{0: 2, 13: 2, 5: 0, 3: 3}",31,0.7419354838709677,4
SC0044,10,"{0: 2, 13: 2, 5: 0, 3: 3}",31,0.7419354838709677,4
SC0045,11,"{3: 2, 5: 0, 11: 1, 15: 0}",298,0.06040268456375839,4
SC0046,11,"{3: 2, 5: 0, 11: 1, 15: 0}",298,0.06040268456375839,4
SC0047,11,"{3: 2, 5: 0, 11: 1, 15: 0}",298,0.06040268456375839,4
SC0048,11,"{3: 2, 5: 0, 11: 1, 15: 0}",298,0.06040268456375839,4
SC0049,12,"{0: 3, 4: 0}",185,1.0,2
SC0050,12,"{0: 3, 4: 0}",185,1.0,2
SC0051,12,"{0: 3, 4: 0}",185,1.0,2
SC0052,12,"{0: 3, 4: 0}",185,1.0,2
SC0053,13,"{8: 2, 16: 0}",214,0.677570093457944,2
SC0054,13,"{8: 2, 16: 0}",214,0.677570093457944,2
SC0055,13,"{8: 2, 16: 0}",214,0.677570093457944,2
SC0056,13,"{8: 2, 16: 0}",214,0.677570093457944,2
SC0057,14,"{15: 3, 4: 2, 16: 1}",232,0.7586206896551724,3
SC0058,14,"{15: 3, 4: 2, 16: 1}",232,0.7586206896551724,3
SC0059,14,"{15: 3, 4: 2, 16: 1}",232,0.7586206896551724,3
SC0060,14,"{15: 3, 4: 2, 16: 1}",232,0.7586206896551724,3
SC0061,15,"{1: 2, 5: 2, 0: 0}",57,0.3333333333333333,3
SC0062,15,"{1: 2, 5: 2, 0: 0}",57,0.3333333333333333,3
SC0063,15,"{1: 2, 5: 2, 0: 0}",57,0.3333333333333333,3
SC0064,15,"{1: 2, 5: 2, 0: 0}",57,0.3333333333333333,3
SC0065,16,"{10: 3, 13: 3, 15: 0}",48,0.7083333333333334,3
SC0066,16,"{10: 3, 13: 3, 15: 0}",48,0.7083333333333334,3
SC0067,16,"{10: 3, 13: 3, 15: 0}",48,0.7083333333333334,3
SC0068,16,"{10: 3, 13: 3, 15: 0}",48,0.7083333333333334,3
SC0069,17,"{11: 3, 13: 0, 3: 1}",58,0.603448275862069,3
SC0070,17,"{11: 3, 13: 0, 3: 1}",58,0.603448275862069,3
SC0071,17,"{11: 3, 13: 0, 3: 1}",58,0.603448275862069,3
SC0072,17,"{11: 3, 13: 0, 3: 1}",58,0.603448275862069,3
SC0073,18,"{17: 3, 3: 1}",118,0.7966101694915254,2
SC0074,18,"{17: 3, 3: 1}",118,0.7966101694915254,2
SC0075,18,"{17: 3, 3: 1}",118,0.7966101694915254,2
SC0076,18,"{17: 3, 3: 1}",118,0.7966101694915254,2
SC0077,19,"{10: 3, 13: 0}",200,0.6,2
SC0078,19,"{10: 3, 13: 0}",200,0.6,2
SC0079,19,"{10: 3, 13: 0}",200,0.6,2
SC0080,19,"{10: 3, 13: 0}",200,0.6,2
SC0081,20,"{17: 2, 7: 3, 13: 1, 0: 1}",42,0.5952380952380952,4
SC0082,20,"{17: 2, 7: 3, 13: 1, 0: 1}",42,0.5952380952380952,4
SC0083,20,"{17: 2, 7: 3, 13: 1, 0: 1}",42,0.5952380952380952,4
SC0084,20,"{17: 2, 7: 3, 13: 1, 0: 1}",42,0.5952380952380952,4
SC0085,21,"{13: 2, 5: 3, 15: 0, 9: 0}",27,0.8888888888888888,4
SC0086,21,"{13: 2, 5: 3, 15: 0, 9: 0}",27,0.8888888888888888,4
SC0087,21,"{13: 2, 5: 3, 15: 0, 9: 0}",27,0.8888888888888888,4
SC0088,21,"{13: 2, 5: 3, 15: 0, 9: 0}",27,0.8888888888888888,4
SC0089,22,"{1: 2, 14: 0, 16: 2, 3: 0}",35,0.8857142857142857,4
SC0090,22,"{1: 2, 14: 0, 16: 2, 3: 0}",35,0.8857142857142857,4
SC0091,22,"{1: 2, 14: 0, 16: 2, 3: 0}",35,0.8857142857142857,4
SC0092,22,"{1: 2, 14: 0, 16: 2, 3: 0}",35,0.8857142857142857,4
SC0093,23,"{11: 2, 13: 2}",92,0.6630434782608695,2
SC0094,23,"{11: 2, 13: 2}",92,0.6630434782608695,2
SC0095,23,"{11: 2, 13: 2}",92,0.6630434782608695,2
SC0096,23,"{11: 2, 13: 2}",92,0.6630434782608695,2
SC0097,24,"{10: 3, 17: 2, 7: 1, 0: 0}",34,0.5588235294117647,4
SC0098,24,"{10: 3, 17: 2, 7: 1, 0: 0}",34,0.5588235294117647,4
SC0099,24,"{10: 3, 17: 2, 7: 1, 0: 0}",34,0.5588235294117647,4
SC0100,24,"{10: 3, 17: 2, 7: 1, 0: 0}",34,0.5588235294117647,4
SC0101,25,"{13: 3, 15: 1, 5: 0, 7: 3}",97,0.5154639175257731,4
SC0102,25,"{13: 3, 15: 1, 5: 0, 7: 3}",97,0.5154639175257731,4
SC0103,25,"{13: 3, 15: 1, 5: 0, 7: 3}",97,0.5154639175257731,4
SC0104,25,"{13: 3, 15: 1, 5: 0, 7: 3}",97,0.5154639175257731,4
SC0105,26,"{13: 3, 14: 2, 3: 3}",31,0.8064516129032258,3
SC0106,26,"{13: 3, 14: 2, 3: 3}",31,0.8064516129032258,3
SC0107,26,"{13: 3, 14: 2, 3: 3}",31,0.8064516129032258,3
SC0108,26,"{13: 3, 14: 2, 3: 3}",31,0.8064516129032258,3
SC0109,27,"{17: 3, 1: 2, 8: 1, 15: 1}",36,0.7222222222222222,4
SC0110,27,"{17: 3, 1: 2, 8: 1, 15: 1}",36,0.7222222222222222,4
SC0111,27,"{17: 3, 1: 2, 8: 1, 15: 1}",36,0.7222222222222222,4
SC0112,27,"{17: 3, 1: 2, 8: 1, 15: 1}",36,0.7222222222222222,4
SC0113,28,"{13: 3, 1: 1}",304,0.7631578947368421,2
SC0114,28,"{13: 3, 1: 1}",304,0.7631578947368421,2
SC0115,28,"{13: 3, 1: 1}",304,0.7631578947368421,2
SC0116,28,"{13: 3, 1: 1}",304,0.7631578947368421,2
SC0117,29,"{13: 2, 17: 1, 8: 1, 16: 1}",82,0.4268292682926829,4
SC0118,29,"{13: 2, 17: 1, 8: 1, 16: 1}",82,0.4268292682926829,4
SC0119,29,"{13: 2, 17: 1, 8: 1, 16: 1}",82,0.4268292682926829,4
SC0120,29,"{13: 2, 17: 1, 8: 1, 16: 1}",82,0.4268292682926829,4
SC0121,30,"{4: 3, 1: 2}",78,0.8589743589743589,2
SC0122,30,"{4: 3, 1: 2}",78,0.8589743589743589,2
SC0123,30,"{4: 3, 1: 2}",78,0.8589743589743589,2
SC0124,30,"{4: 3, 1: 2}",78,0.8589743589743589,2
SC0125,31,"{5: 2, 1: 1, 3: 3, 15: 0}",100,0.47,4
SC0126,31,"{5: 2, 1: 1, 3: 3, 15: 0}",100,0.47,4
SC0127,31,"{5: 2, 1: 1, 3: 3, 15: 0}",100,0.47,4
SC0128,31,"{5: 2, 1: 1, 3: 3, 15: 0}",100,0.47,4
SC0129,32,"{13: 2, 7: 3, 3: 2, 5: 0}",66,0.4090909090909091,4
SC0130,32,"{13: 2, 7: 3, 3: 2, 5: 0}",66,0.4090909090909091,4
SC0131,32,"{13: 2, 7: 3, 3: 2, 5: 0}",66,0.4090909090909091,4
SC0132,32,"{13: 2, 7: 3, 3: 2, 5: 0}",66,0.4090909090909091,4
SC0133,33,"{13: 3, 8: 1, 5: 0, 3: 3}",116,0.21551724137931033,4
SC0134,33,"{13: 3, 8: 1, 5: 0, 3: 3}",116,0.21551724137931033,4
SC0135,33,"{13: 3, 8: 1, 5: 0, 3: 3}",116,0.21551724137931033,4
SC0136,33,"{13: 3, 8: 1, 5: 0, 3: 3}",116,0.21551724137931033,4
SC0137,34,"{13: 3, 5: 2, 8: 1, 14: 0}",48,0.375,4
SC0138,34,"{13: 3, 5: 2, 8: 1, 14: 0}",48,0.375,4
SC0139,34,"{13: 3, 5: 2, 8: 1, 14: 0}",48,0.375,4
SC0140,34,"{13: 3, 5: 2, 8: 1, 14: 0}",48,0.375,4
SC0141,35,"{9: 2, 13: 3}",231,0.696969696969697,2
SC0142,35,"{9: 2, 13: 3}",231,0.696969696969697,2
SC0143,35,"{9: 2, 13: 3}",231,0.696969696969697,2
SC0144,35,"{9: 2, 13: 3}",231,0.696969696969697,2
SC0145,36,"{17: 2, 1: 2, 7: 2, 2: 0}",109,0.7064220183486238,4
