sigma,seed,test_mae,test_rmse,threshold_recovery_error,rule_recovery_jaccard,rule_macro_f1_non_abstain,rule_accuracy_non_abstain,coverage,abstention_rate,conflict_rate,rule_count,avg_antecedent_length,avg_original_antecedent_length,avg_confidence
0.0,0,4.3953453714873307e-07,5.148452247228671e-07,0.011958772172727283,0.5166666666666666,0.8698557688219068,0.8713629402756509,0.9795,0.020499999999999963,0.009,5,3.2,8.8,0.913804508646049
0.0,1,3.849277093486049e-07,5.465936632177226e-07,0.01541731092727272,0.7166666666666667,0.8835396255666754,0.8842592592592593,0.972,0.028000000000000025,0.0215,5,2.8,5.8,0.9181925317145477
0.0,2,3.591877037485557e-07,4.653836083344244e-07,0.012586957990909082,0.7166666666666667,0.8668249138664847,0.868801652892562,0.968,0.03200000000000003,0.0215,5,2.8,9.0,0.9154680259932005
0.0,3,3.919904122806574e-07,4.6605140383325143e-07,0.019887860618181794,0.7166666666666667,0.8832149424362583,0.8844559585492228,0.965,0.03500000000000003,0.0225,5,2.8,8.8,0.911167176307905
0.0,4,4.2417660796168654e-07,5.038479832872171e-07,0.007890327309090905,0.8333333333333333,0.8906782896662626,0.8910686628807434,0.9685,0.03149999999999997,0.0265,5,2.6,8.4,0.914464957362388
0.02,0,0.004296835953280859,0.005407315282968359,0.015126113290909097,0.7166666666666667,0.887074964950178,0.8871554862194487,0.9615,0.03849999999999998,0.026,5,2.8,7.4,0.925007633529173
0.02,1,0.004270859216282209,0.005378706342263802,0.022982232245454533,0.7166666666666667,0.8720980031702688,0.8738926524231371,0.9595,0.04049999999999998,0.0255,5,2.8,5.6,0.9211858898583385
0.02,2,0.0043570241866167465,0.005485672780447608,0.014573527681818178,0.7166666666666667,0.868282645544442,0.8698347107438017,0.968,0.03200000000000003,0.021,5,2.8,8.4,0.9161303906020137
0.02,3,0.004294531158643965,0.005382675106960944,0.019203166290909093,0.8333333333333333,0.8955411740750121,0.8961038961038961,0.9625,0.03749999999999998,0.0235,6,2.8333333333333335,6.5,0.9058924712999595
0.02,4,0.0041820531086657455,0.005258047167188526,0.014066927209090908,0.8333333333333333,0.8820333536800495,0.8827800829875518,0.964,0.03600000000000003,0.0285,6,2.8333333333333335,7.666666666666667,0.9145884149506768
0.05,0,0.010706645452612648,0.013470796394390281,0.013752296554545447,0.5083333333333333,0.8842878128674609,0.8849104859335039,0.9775,0.022499999999999964,0.0105,5,3.4,8.8,0.9102368283111686
0.05,1,0.010623454632571005,0.013378539900628593,0.017939386,0.5166666666666666,0.8207645204222516,0.8249744114636642,0.977,0.02300000000000002,0.011,5,3.2,7.8,0.9078791447479382
0.05,2,0.010840168584177221,0.013647293488733482,0.01237112515454545,0.8333333333333333,0.8573236148655609,0.8570694087403599,0.9725,0.02749999999999997,0.0205,5,2.6,7.4,0.914524485570141
0.05,3,0.010703388273049655,0.013426599540699396,0.01919103309090908,0.7083333333333333,0.8700822010352803,0.8714285714285714,0.98,0.020000000000000018,0.007,6,3.1666666666666665,7.833333333333333,0.9004267727569261
0.05,4,0.010412707508520459,0.013084642267498843,0.011402983545454553,0.625,0.8649333465398902,0.8663946965833759,0.9805,0.019499999999999962,0.012,5,3.2,8.4,0.9075176332284434
0.1,0,0.02122310119526282,0.026691616727989417,0.01980735683636363,0.7166666666666667,0.8606595029538757,0.8601982263954095,0.9585,0.04149999999999998,0.027,5,2.8,6.0,0.9148398091018282
0.1,1,0.021065583025187674,0.026499996667876245,0.015677378945454543,0.7166666666666667,0.8722473342264896,0.8733783082511676,0.9635,0.03649999999999998,0.028,5,2.8,5.6,0.9095345807900891
0.1,2,0.021492395840787656,0.02705340673362737,0.018176968990909096,0.7166666666666667,0.8989909588382143,0.899895724713243,0.959,0.041000000000000036,0.0265,5,2.8,7.6,0.9150108356360149
0.1,3,0.021215749263700963,0.026625728102079447,0.02013532149090908,0.8333333333333333,0.89018533745218,0.8905601659751037,0.964,0.03600000000000003,0.018,6,3.0,7.666666666666667,0.9040419562053273
0.1,4,0.02065838818216249,0.02595311968076339,0.01542394305454542,0.8333333333333333,0.8830209402353472,0.883419689119171,0.965,0.03500000000000003,0.026,5,2.6,7.4,0.9140591214108159
0.15,0,0.03141014385503934,0.03947918182815049,0.013694166227272719,0.7166666666666667,0.856724273970791,0.8572922111866179,0.9565,0.04349999999999998,0.031,5,2.8,5.8,0.9130104363381857
0.15,1,0.03119206501219125,0.03921204058861523,0.015374525281818173,0.7166666666666667,0.8542319527021863,0.8559498956158664,0.958,0.04200000000000004,0.031,5,2.8,7.6,0.9030377694197445
0.15,2,0.03182985322515499,0.040043719694996906,0.01734484316363635,0.7166666666666667,0.8704688603823447,0.8712041884816754,0.955,0.04500000000000004,0.023,5,2.8,7.6,0.9113999950573698
0.15,3,0.03137202942901888,0.039382608155008554,0.01660792124545454,0.7916666666666666,0.8708133855539497,0.8719289074751699,0.9565,0.04349999999999998,0.021,6,3.1666666666666665,6.666666666666667,0.9101732220446596
0.15,4,0.030635884232920144,0.038460772300133964,0.019261943609090903,0.7916666666666666,0.8607283314008489,0.8609237156201349,0.9635,0.03649999999999998,0.0225,5,2.8,7.6,0.9225343998677575
0.2,0,0.041179059681496516,0.051710822946319124,0.016009749545454546,0.9166666666666666,0.8406134110851179,0.8397673188789001,0.9455,0.05449999999999999,0.0235,5,2.4,4.4,0.8897342089576112
0.2,1,0.04089740480184421,0.05138024471707203,0.01267445160000001,0.6666666666666667,0.8186678637016845,0.822680412371134,0.97,0.030000000000000027,0.008,5,3.2,5.8,0.9013244341916427
0.2,2,0.041735159412088725,0.052475338512379975,0.015197975618181819,0.7166666666666667,0.8502396383946088,0.8513442277279916,0.9485,0.05149999999999999,0.0255,5,2.8,6.0,0.8965057471061414
0.2,3,0.04108078513660222,0.0515703966840564,0.018261515581818176,0.7083333333333334,0.8344639827862139,0.8363157894736842,0.95,0.050000000000000044,0.023,5,3.0,6.0,0.8947115490784536
0.2,4,0.04023571489395545,0.050476914754709605,0.020725212590909092,0.7083333333333334,0.8464863730720751,0.8484366719660837,0.9435,0.056499999999999995,0.0335,5,3.0,7.4,0.89942759143171
