class_index,class_name,n_objects,prototype_accuracy,symbolic_template_accuracy,mean_hamming
6,horse,1645,0.48145896656534953,0.4857142857142857,0.33873691320499827
8,blue whale,174,0.9885057471264368,0.8045977011494253,0.20083014048531292
22,sheep,1420,0.8492957746478873,0.04366197183098591,0.37660406885759
23,seal,988,0.3532388663967611,0.14979757085020243,0.3752811515969411
29,bat,383,0.007832898172323759,0.05483028720626632,0.3829416884247171
30,giraffe,1202,0.009983361064891847,0.024126455906821963,0.46066740617489366
33,rat,310,0.8806451612903226,0.1032258064516129,0.4026881720430107
40,bobcat,630,0.9333333333333333,0.746031746031746,0.46084656084656084
46,walrus,215,0.4930232558139535,0.11627906976744186,0.3930232558139535
49,dolphin,946,0.02536997885835095,0.0200845665961945,0.28617571059431524
