rule_id,antecedent,antecedent_text,consequent,consequent_name,support,confidence,coverage,conflict_count,antecedent_length,original_antecedent_length,source,covered_indices_sample
R0001,"{'1': 2, '8': 3}",hooves=s2 AND yellow=s3,30,giraffe,423,0.9929078014184397,0.018889831643817263,3,2,3,semantic_prototype,"[1, 2, 96, 224, 249, 275, 343, 347, 392, 394, 769, 819, 870, 894, 912, 936, 991, 1011, 1034, 1070]"
R0002,{'0': 3},stripes=s3,37,zebra,682,0.9193548387096774,0.030455946054570623,55,1,18,strict_lower,"[20, 31, 39, 48, 70, 105, 171, 182, 202, 233, 258, 282, 336, 378, 387, 397, 421, 437, 463, 517]"
R0003,"{'4': 2, '5': 3, '9': 1}",grazer=s2 AND paws=s3 AND claws=s1,28,rabbit,119,0.9159663865546218,0.0053141606752110035,10,3,18,strict_lower,"[294, 364, 407, 572, 672, 1124, 1527, 1609, 1780, 2002, 2124, 2170, 2260, 2569, 2607, 2664, 2994, 3014, 3024, 3060]"
R0004,"{'0': 0, '11': 3, '12': 0, '16': 1, '17': 3}",stripes=s0 AND jungle=s3 AND water=s0 AND tree=s1 AND hunter=s3,42,lion,187,0.8716577540106952,0.00835082391818872,24,5,18,strict_lower,"[38, 231, 320, 644, 723, 1222, 1295, 1325, 1399, 1487, 1676, 1680, 1776, 1837, 2043, 2291, 2305, 2310, 2390, 2526]"
R0005,"{'8': 2, '10': 0, '11': 3, '15': 0}",yellow=s2 AND hops=s0 AND jungle=s3 AND bipedal=s0,12,tiger,449,0.8641425389755011,0.020050908766132275,61,4,18,boundary_high_confidence,"[44, 48, 151, 202, 216, 228, 229, 239, 300, 302, 388, 434, 459, 521, 567, 568, 755, 758, 786, 793]"
R0006,"{'4': 0, '5': 2, '7': 0, '9': 2, '11': 0, '12': 0, '14': 2, '17': 0}",grazer=s0 AND paws=s2 AND hairless=s0 AND claws=s2 AND jungle=s0 AND water=s0 AND vegetation=s2 AND hunter=s0,26,squirrel,79,0.8607594936708861,0.0035278881793417587,11,8,18,strict_lower,"[345, 439, 456, 798, 840, 1183, 1247, 1253, 2345, 2920, 3259, 3668, 4003, 4034, 4147, 5269, 5284, 5510, 5986, 6033]"
R0007,"{'1': 2, '4': 3, '5': 0, '7': 0, '8': 0, '9': 0, '13': 0}",hooves=s2 AND grazer=s3 AND paws=s0 AND hairless=s0 AND yellow=s0 AND claws=s0 AND hands=s0,22,sheep,124,0.8548387096774194,0.005537444737194659,18,7,18,boundary_high_confidence,"[160, 353, 552, 613, 740, 1097, 1175, 1512, 1703, 1778, 1821, 2112, 2115, 2136, 2266, 2329, 2692, 2777, 3103, 3216]"
R0008,"{'10': 0, '11': 3, '15': 0, '16': 0}",hops=s0 AND jungle=s3 AND bipedal=s0 AND tree=s0,12,tiger,280,0.8535714285714285,0.012503907471084715,41,4,18,strict_lower,"[48, 151, 202, 228, 459, 475, 715, 793, 801, 823, 868, 963, 1021, 1232, 1305, 1371, 1554, 1845, 2118, 2192]"
R0009,"{'5': 2, '9': 2, '16': 3, '17': 0}",paws=s2 AND claws=s2 AND tree=s3 AND hunter=s0,26,squirrel,244,0.8524590163934426,0.010896262224802394,36,4,18,boundary_high_confidence,"[345, 439, 456, 564, 766, 770, 798, 840, 1076, 1164, 1183, 1327, 1472, 1602, 1621, 1757, 1788, 1950, 2502, 2719]"
R0010,"{'1': 0, '4': 2, '5': 2}",hooves=s0 AND grazer=s2 AND paws=s2,28,rabbit,188,0.851063829787234,0.00839548073058545,28,3,18,strict_lower,"[165, 256, 329, 403, 465, 493, 544, 559, 612, 709, 747, 1151, 1159, 1188, 1491, 1567, 1586, 1621, 1841, 1973]"
