rank,attribute_index,attribute,salience_norm,val_mae,selection_score
1,10,stripes,0.6592031204779204,0.07076217611373088,0.6773544151141595
2,20,hooves,0.8333281338166804,0.10913685905754247,0.6364264532497579
3,61,stalker,0.7826068488673293,0.1018533642853765,0.6353583348284493
4,73,ocean,0.5100872222918158,0.06167631799691694,0.6331003838177756
5,57,grazer,0.9647650354423053,0.13023237280090266,0.6317853732248333
6,22,paws,0.9877236212121722,0.13400005330851522,0.630698381349551
7,18,flippers,0.49165381586127754,0.06101343366607417,0.6260945881483093
8,12,hairless,0.7292215715627075,0.0987441854894371,0.6190356906704318
9,7,yellow,0.5657706859570334,0.07692859140063235,0.6100714512072354
10,31,claws,0.8173843359521299,0.11543516727031189,0.6074479072970278
11,35,hops,0.39013405313842026,0.05169153676750624,0.606425880971128
12,71,jungle,0.6909067333100715,0.09688868956225728,0.6060668775432825
13,75,water,0.5256076995082537,0.07215429466329595,0.6059135938139406
14,19,hands,0.4088813503896678,0.05537227157619528,0.6035232334407029
15,54,vegetation,1.0,0.14425730052382826,0.6026257375522959
16,44,bipedal,0.6508464573133281,0.0921099613537223,0.6019751555912805
17,76,tree,0.6385942362797954,0.09036358320945911,0.6016737122710789
18,58,hunter,0.8543488197337176,0.12289139901723917,0.6010614982550437
