rule_id,antecedent,antecedent_text,consequent,consequent_name,support,confidence,coverage,conflict_count,antecedent_length,original_antecedent_length,source,covered_indices_sample
R0001,"{'4': 3, '11': 1, '17': 2}",sun_attribute_066=s3 AND sun_attribute_089=s1 AND sun_attribute_026=s2,664,underwater pool,6,0.8333333333333334,0.000646551724137931,1,3,6,semantic_prototype,"[4272, 4278, 4282, 4286, 4287, 6988]"
R0002,"{'2': 3, '8': 2, '15': 3, '16': 2}",sun_attribute_022=s3 AND sun_attribute_068=s2 AND sun_attribute_092=s3 AND sun_attribute_006=s2,556,sand trap,5,0.6,0.0005387931034482759,2,4,8,semantic_prototype,"[1840, 1842, 1855, 5839, 7992]"
R0003,"{'2': 0, '3': 2, '4': 3, '5': 2, '11': 1}",sun_attribute_022=s0 AND sun_attribute_000=s2 AND sun_attribute_066=s3 AND sun_attribute_087=s2 AND sun_attribute_089=s1,663,underwater ocean shallow,5,0.6,0.0005387931034482759,2,5,7,semantic_prototype,"[1338, 7425, 7437, 7438, 8113]"
R0004,"{'1': 1, '7': 1, '8': 3, '10': 2, '14': 2, '15': 2}",sun_attribute_094=s1 AND sun_attribute_021=s1 AND sun_attribute_068=s3 AND sun_attribute_040=s2 AND sun_attribute_065=s2 AND sun_attribute_092=s2,317,harbor,12,0.5833333333333334,0.001293103448275862,5,6,7,semantic_prototype,"[1733, 3199, 4396, 4398, 4432, 6928, 6932, 6933, 6936, 6937, 6941, 6943]"
R0005,"{'0': 3, '1': 2, '5': 3, '9': 0, '11': 2, '16': 2}",sun_attribute_014=s3 AND sun_attribute_094=s2 AND sun_attribute_087=s3 AND sun_attribute_091=s0 AND sun_attribute_089=s2 AND sun_attribute_006=s2,662,underwater ocean deep,18,0.5555555555555556,0.001939655172413793,8,6,8,semantic_prototype,"[1341, 3954, 3956, 3957, 3958, 3959, 3961, 3962, 3964, 3965, 3967, 4484, 4492, 4589, 5117, 6312, 7427, 8117]"
R0006,"{'1': 1, '3': 3, '5': 1, '11': 3, '16': 0}",sun_attribute_094=s1 AND sun_attribute_000=s3 AND sun_attribute_087=s1 AND sun_attribute_089=s3 AND sun_attribute_006=s0,437,naval base,9,0.5555555555555556,0.0009698275862068965,4,5,7,semantic_prototype,"[3433, 4396, 6340, 7504, 8178, 8179, 8183, 8184, 8190]"
R0007,"{'6': 3, '7': 0, '11': 1, '17': 0}",sun_attribute_013=s3 AND sun_attribute_021=s0 AND sun_attribute_089=s1 AND sun_attribute_026=s0,661,underwater kelp forest,22,0.4090909090909091,0.0023706896551724138,13,4,4,semantic_prototype,"[560, 563, 564, 565, 575, 1328, 1329, 1330, 1331, 1334, 1337, 1338, 1340, 1342, 4789, 7424, 7425, 7437, 7438, 8113]"
R0008,"{'13': 3, '15': 2, '16': 1, '17': 2}",sun_attribute_023=s3 AND sun_attribute_092=s2 AND sun_attribute_006=s1 AND sun_attribute_026=s2,671,velodrome outdoor,21,0.2857142857142857,0.002262931034482759,15,4,4,semantic_prototype,"[2037, 2547, 2548, 2549, 2552, 2555, 2559, 3889, 4039, 4281, 4713, 4841, 5082, 5287, 5760, 5835, 5837, 6067, 8227, 8233]"
R0009,"{'1': 3, '9': 1, '11': 2, '12': 3}",sun_attribute_094=s3 AND sun_attribute_091=s1 AND sun_attribute_089=s2 AND sun_attribute_007=s3,144,cavern indoor,39,0.2564102564102564,0.0042025862068965514,29,4,4,semantic_prototype,"[496, 507, 2380, 4400, 4481, 4483, 4491, 4493, 4494, 4495, 4676, 4886, 5855, 6146, 6147, 6148, 6151, 6152, 6154, 6155]"
R0010,"{'1': 3, '9': 0, '12': 2, '16': 2}",sun_attribute_094=s3 AND sun_attribute_091=s0 AND sun_attribute_007=s2 AND sun_attribute_006=s2,22,archaelogical excavation,21,0.23809523809523808,0.002262931034482759,16,4,4,semantic_prototype,"[1499, 1500, 1847, 2097, 2102, 3162, 3879, 3883, 4086, 4480, 5108, 5111, 5116, 5841, 5845, 5848, 5851, 5853, 7072, 7076]"
R0011,"{'3': 2, '4': 3, '6': 3, '10': 0}",sun_attribute_000=s2 AND sun_attribute_066=s3 AND sun_attribute_013=s3 AND sun_attribute_040=s0,660,underwater ice,28,0.21428571428571427,0.003017241379310345,22,4,4,semantic_prototype,"[565, 574, 575, 1334, 1734, 1891, 2923, 3412, 3413, 3828, 3963, 3987, 3997, 3999, 4280, 4284, 4286, 7426, 7437, 7445]"
R0012,"{'9': 0, '10': 3, '11': 3, '13': 3}",sun_attribute_091=s0 AND sun_attribute_040=s3 AND sun_attribute_089=s3 AND sun_attribute_023=s3,586,soccer field,91,0.16483516483516483,0.009806034482758621,76,4,4,semantic_prototype,"[534, 784, 900, 1120, 1125, 1126, 1133, 1372, 1840, 1841, 1842, 1844, 1846, 1849, 1850, 1851, 1853, 1855, 2038, 2041]"
R0013,"{'6': 0, '11': 3, '12': 0, '13': 3}",sun_attribute_013=s0 AND sun_attribute_089=s3 AND sun_attribute_007=s0 AND sun_attribute_023=s3,64,baseball field,83,0.10843373493975904,0.00894396551724138,74,4,4,semantic_prototype,"[534, 784, 1125, 1843, 1849, 2033, 2041, 2042, 2045, 2554, 2832, 2833, 2834, 2837, 2838, 2839, 2840, 2843, 2844, 2881]"
R0014,"{'0': 3, '1': 0, '8': 3, '12': 0}",sun_attribute_014=s3 AND sun_attribute_094=s0 AND sun_attribute_068=s3 AND sun_attribute_007=s0,614,swimming pool outdoor,118,0.1016949152542373,0.01271551724137931,106,4,4,semantic_prototype,"[56, 57, 63, 209, 212, 220, 241, 252, 385, 387, 395, 426, 744, 771, 885, 1302, 1568, 1569, 1577, 1578]"
R0015,"{'5': 2, '8': 1, '9': 0, '13': 2}",sun_attribute_087=s2 AND sun_attribute_068=s1 AND sun_attribute_091=s0 AND sun_attribute_023=s2,549,rope bridge,53,0.09433962264150944,0.005711206896551724,48,4,4,semantic_prototype,"[449, 455, 457, 458, 462, 568, 623, 650, 787, 906, 1362, 1364, 1488, 1768, 1863, 1999, 2096, 2964, 2972, 3664]"
R0016,"{'4': 2, '5': 0, '11': 3, '15': 3}",sun_attribute_066=s2 AND sun_attribute_087=s0 AND sun_attribute_089=s3 AND sun_attribute_092=s3,28,arrival gate outdoor,34,0.08823529411764706,0.003663793103448276,31,4,4,semantic_prototype,"[432, 434, 438, 593, 625, 740, 807, 1610, 1611, 2888, 2911, 3434, 3615, 3794, 4394, 5131, 5132, 5450, 5570, 5581]"
