rank,attribute_index,attribute,salience_norm,val_mae,selection_score
1,14,sun_attribute_014,0.5371428065401124,0.04851874878249359,0.6218864105644388
2,94,sun_attribute_094,0.5991678122895935,0.05648034154344034,0.6184253806478435
3,22,sun_attribute_022,0.5132276184131191,0.046557571242275525,0.6184206748856078
4,0,sun_attribute_000,0.5703187001030932,0.055304717800136786,0.6090912511666959
5,66,sun_attribute_066,0.39759703118810674,0.038218253792496985,0.5967144541928416
6,87,sun_attribute_087,0.6866817755973056,0.07200591272511689,0.5949569586285655
7,13,sun_attribute_013,0.4353681293200016,0.043916052326624044,0.5909286528767208
8,21,sun_attribute_021,0.5487956078165314,0.06184739590270232,0.5700000434991139
9,68,sun_attribute_068,0.41987813574427874,0.048617502525825335,0.5628264734904209
10,91,sun_attribute_091,1.0,0.11687447766400376,0.5573361081184103
11,40,sun_attribute_040,0.5298431530168353,0.06305531598665269,0.5552935469968777
12,89,sun_attribute_089,0.8497514974264511,0.10018415801322626,0.5544805974034075
13,7,sun_attribute_007,0.45169392861212965,0.05424838822987069,0.5543527507193484
14,23,sun_attribute_023,0.3932653640293695,0.04831746018503628,0.5508192647931847
15,65,sun_attribute_065,0.16721218075216807,0.022388547403566918,0.5500643318357773
16,92,sun_attribute_092,0.5683378944672928,0.06875676180898387,0.5498537746571821
17,6,sun_attribute_006,0.37156625722512693,0.046133184178986264,0.549427581541023
18,26,sun_attribute_026,0.31593909910323886,0.04121883191564433,0.542893046634348
