path,size,sha256
outputs/revision_v2/artifact_index_revision_v2.csv,13012,6672d63e95b0b4fc57bf82e3f18b399f63430ca2c06aa8a445edeea9c2c35d0a
outputs/revision_v2/derm7pt/derm7pt_concept_diagnostics_v2.csv,5948,4085672f463fd6c143d363eb4a38fca598764c984408c9f1e7b1594a828d09b4
outputs/revision_v2/derm7pt/derm7pt_diagnosis_diagnostics.csv,1637,f6ebfc13242f18306643374fcffd32930663fbbfa44793a740c85d4560b5d89e
outputs/revision_v2/derm7pt/derm7pt_limitations.md,792,d57f638f11391850883ac822ed62f5113283722bea72b53d588ff5cc8520ce3f
outputs/revision_v2/environment_v2.json,986,b5489075eb51aba9c19bad4360963932251bedcc4daeef0d03a72b0c9de1c92c
outputs/revision_v2/latex/latex_artifact_sources.json,3744,97ef6fac58032cd36919f0211332a29a53183d7d94aa1811baf465b5743126b6
outputs/revision_v2/latex/latex_status.json,775,2e9545be20f68925ac2d306561d6d1b3c3b46b8a5e5cb6ff2295c9e8133be180
outputs/revision_v2/latex/main.aux,45476,fd953158056488520ea6b3e1c48040ae4559ef397dbd5aedaa10d0e0555c97ea
outputs/revision_v2/latex/main.bbl,16198,14e9b8cbdb51c5d36700229cb0e80b4483b55c569571dd1e91964b5bdce4b645
outputs/revision_v2/latex/main.blg,1068,e03d632f54071272bb6208ee083716efdb357d1d270301fb5339495c91c7f4f8
outputs/revision_v2/latex/main.log,81414,17bfe6a3da761001138786ccd184ba95490052a3f0689acf00a9a9e179f74352
outputs/revision_v2/latex/main.out,12236,5c2a26428823603717276c1c1f68d1e84fb91997a4e757fd1f64ff52a3f487d5
outputs/revision_v2/latex/main.pdf,10758046,66b66f36043302778f7c9ad4754bd068c13a66c00c94ee645bb79ff3b8e3da2c
outputs/revision_v2/latex/main_bibtex.log,160,12f736aa5c3b2364756d69b8408abf6fda024e37ac0a3c079154f5780ec4650b
outputs/revision_v2/latex/main_bibtex.log.stderr,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
outputs/revision_v2/latex/main_bibtex.log.stdout,157,b8aeca15c13fb14e388edc9d7b4e16efd54266dfa18c2476379565d59a8a7bf0
outputs/revision_v2/latex/main_pdflatex_pass1.log,37183,9604e7ac6e7825211d5374a05542eaece307f8fd8108f85b293b2b856a23f144
outputs/revision_v2/latex/main_pdflatex_pass1.log.stderr,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
outputs/revision_v2/latex/main_pdflatex_pass1.log.stdout,37180,099aebaea0c1cda68740b8e509e63c4297344a4e2f95225f9330124b7f3027c6
outputs/revision_v2/latex/main_pdflatex_pass2.log,37183,9604e7ac6e7825211d5374a05542eaece307f8fd8108f85b293b2b856a23f144
outputs/revision_v2/latex/main_pdflatex_pass2.log.stderr,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
outputs/revision_v2/latex/main_pdflatex_pass2.log.stdout,37180,099aebaea0c1cda68740b8e509e63c4297344a4e2f95225f9330124b7f3027c6
outputs/revision_v2/latex/main_pdflatex_pass3.log,37183,9604e7ac6e7825211d5374a05542eaece307f8fd8108f85b293b2b856a23f144
outputs/revision_v2/latex/main_pdflatex_pass3.log.stderr,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
outputs/revision_v2/latex/main_pdflatex_pass3.log.stdout,37180,099aebaea0c1cda68740b8e509e63c4297344a4e2f95225f9330124b7f3027c6
outputs/revision_v2/latex/plugin_main_compile.log,390,979ccf303326af0df00df95ebc85fcbfbfee6e5baddc1239d2034d470c36d47c
outputs/revision_v2/latex/plugin_main_compile.log.stderr,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
outputs/revision_v2/latex/plugin_main_compile.log.stdout,387,39cf57f8b7f3666f0ee86e9038677207b9f631a5ed8cf77b6a009e1e1acf7433
