group,n_cases,coverage,covered_accuracy,covered_fidelity,conflict_rate,abstention_rate,fallback_rate,exact_rate,note,concept,concept_value,missing_value
pigment_network=absent,156,0.9038461538461539,0.3404255319148936,,0.01282051282051282,0.09615384615384616,0.4551282051282051,0.5448717948717948,concept-stratified diagnostic only; not clinical validation,pigment_network,absent,False
pigment_network=atypical,93,0.8709677419354839,0.32098765432098764,,0.0,0.12903225806451613,0.6129032258064516,0.3870967741935484,concept-stratified diagnostic only; not clinical validation,pigment_network,atypical,False
pigment_network=typical,146,0.9794520547945206,0.5594405594405595,,0.0,0.02054794520547945,0.3972602739726027,0.6027397260273972,concept-stratified diagnostic only; not clinical validation,pigment_network,typical,False
streaks=absent,257,0.9494163424124513,0.45081967213114754,,0.0038910505836575876,0.05058365758754864,0.3968871595330739,0.603112840466926,concept-stratified diagnostic only; not clinical validation,streaks,absent,False
streaks=irregular,94,0.8404255319148937,0.31645569620253167,,0.0,0.1595744680851064,0.6170212765957447,0.3829787234042553,concept-stratified diagnostic only; not clinical validation,streaks,irregular,False
streaks=regular,44,0.9545454545454546,0.4523809523809524,,0.022727272727272728,0.045454545454545456,0.5909090909090909,0.4090909090909091,concept-stratified diagnostic only; not clinical validation,streaks,regular,False
pigmentation=absent,223,0.968609865470852,0.46296296296296297,,0.008968609865470852,0.03139013452914798,0.39461883408071746,0.6053811659192825,concept-stratified diagnostic only; not clinical validation,pigmentation,absent,False
pigmentation=diffuse irregular,108,0.8240740740740741,0.3146067415730337,,0.0,0.17592592592592593,0.6296296296296297,0.37037037037037035,concept-stratified diagnostic only; not clinical validation,pigmentation,diffuse irregular,False
pigmentation=diffuse regular,45,0.9555555555555556,0.3953488372093023,,0.0,0.044444444444444446,0.5111111111111111,0.4888888888888889,concept-stratified diagnostic only; not clinical validation,pigmentation,diffuse regular,False
pigmentation=localized irregular,16,0.875,0.5714285714285714,,0.0,0.125,0.3125,0.6875,concept-stratified diagnostic only; not clinical validation,pigmentation,localized irregular,False
pigmentation=localized regular,3,1.0,0.3333333333333333,,0.0,0.0,0.6666666666666666,0.3333333333333333,concept-stratified diagnostic only; not clinical validation,pigmentation,localized regular,False
regression_structures=absent,289,0.9204152249134948,0.4398496240601504,,0.006920415224913495,0.07958477508650519,0.47058823529411764,0.5294117647058824,concept-stratified diagnostic only; not clinical validation,regression_structures,absent,False
regression_structures=blue areas,48,1.0,0.3541666666666667,,0.0,0.0,0.5,0.5,concept-stratified diagnostic only; not clinical validation,regression_structures,blue areas,False
regression_structures=combinations,43,0.8604651162790697,0.3783783783783784,,0.0,0.13953488372093023,0.5116279069767442,0.4883720930232558,concept-stratified diagnostic only; not clinical validation,regression_structures,combinations,False
regression_structures=white areas,15,0.9333333333333333,0.42857142857142855,,0.0,0.06666666666666667,0.26666666666666666,0.7333333333333333,concept-stratified diagnostic only; not clinical validation,regression_structures,white areas,False
dots_and_globules=absent,100,0.88,0.32954545454545453,,0.01,0.12,0.45,0.55,concept-stratified diagnostic only; not clinical validation,dots_and_globules,absent,False
dots_and_globules=irregular,177,0.9209039548022598,0.34355828220858897,,0.0,0.07909604519774012,0.5480225988700564,0.4519774011299435,concept-stratified diagnostic only; not clinical validation,dots_and_globules,irregular,False
dots_and_globules=regular,118,0.9661016949152542,0.6052631578947368,,0.00847457627118644,0.03389830508474576,0.3728813559322034,0.6271186440677966,concept-stratified diagnostic only; not clinical validation,dots_and_globules,regular,False
blue_whitish_veil=absent,320,0.946875,0.46534653465346537,,0.003125,0.053125,0.415625,0.584375,concept-stratified diagnostic only; not clinical validation,blue_whitish_veil,absent,False
blue_whitish_veil=present,75,0.8266666666666667,0.20967741935483872,,0.013333333333333334,0.17333333333333334,0.7066666666666667,0.29333333333333333,concept-stratified diagnostic only; not clinical validation,blue_whitish_veil,present,False
vascular_structures=absent,313,0.9233226837060703,0.43944636678200694,,0.003194888178913738,0.07667731629392971,0.4952076677316294,0.5047923322683706,concept-stratified diagnostic only; not clinical validation,vascular_structures,absent,False
vascular_structures=arborizing,13,0.8461538461538461,0.18181818181818182,,0.07692307692307693,0.15384615384615385,0.46153846153846156,0.5384615384615384,concept-stratified diagnostic only; not clinical validation,vascular_structures,arborizing,False
vascular_structures=comma,11,1.0,0.6363636363636364,,0.0,0.0,0.2727272727272727,0.7272727272727273,concept-stratified diagnostic only; not clinical validation,vascular_structures,comma,False
vascular_structures=dotted,22,0.9090909090909091,0.5,,0.0,0.09090909090909091,0.45454545454545453,0.5454545454545454,concept-stratified diagnostic only; not clinical validation,vascular_structures,dotted,False
vascular_structures=hairpin,8,0.875,0.0,,0.0,0.125,0.125,0.875,concept-stratified diagnostic only; not clinical validation,vascular_structures,hairpin,False
vascular_structures=linear irregular,8,1.0,0.25,,0.0,0.0,0.375,0.625,concept-stratified diagnostic only; not clinical validation,vascular_structures,linear irregular,False
vascular_structures=within regression,20,0.95,0.3157894736842105,,0.0,0.05,0.4,0.6,concept-stratified diagnostic only; not clinical validation,vascular_structures,within regression,False
