class_index,class_name,n_objects,coverage,covered_accuracy,covered_fidelity,conflict_rate,abstention_rate,fallback_rate,exact_rate,mean_n_activated,scope,note
0,abbey,4,0.0,,,1.0,1.0,0.0,1.0,37.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
1,access road,4,0.0,,,1.0,1.0,0.0,1.0,20.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
2,airfield,4,0.0,,,1.0,1.0,0.0,1.0,25.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
4,airplane cabin,4,0.0,,,1.0,1.0,0.0,1.0,133.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
5,airport airport,4,0.0,,,1.0,1.0,0.0,1.0,8.75,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
6,airport entrance,4,0.0,,,1.0,1.0,0.0,1.0,44.75,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
7,airport terminal,4,0.0,,,1.0,1.0,0.0,1.0,123.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
8,airport ticket counter,4,0.25,0.0,,0.75,0.75,0.25,0.75,81.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
9,alcove,4,0.0,,,1.0,1.0,0.0,1.0,145.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
11,amphitheater,4,0.25,0.0,,0.75,0.75,0.0,1.0,45.75,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
12,amusement arcade,4,0.0,,,1.0,1.0,0.0,1.0,177.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
13,amusement park,4,0.0,,,1.0,1.0,0.0,1.0,24.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
14,anechoic chamber,4,0.0,,,1.0,1.0,0.0,1.0,106.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
15,apartment building outdoor,4,0.0,,,1.0,1.0,0.0,1.0,28.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
16,apse indoor,4,0.5,0.0,,0.5,0.5,0.0,1.0,55.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
17,apse outdoor,4,0.0,,,1.0,1.0,0.0,1.0,55.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
18,aquarium,4,0.75,0.0,,0.25,0.25,0.5,0.5,0.75,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
19,aquatic theater,4,0.25,1.0,,0.75,0.75,0.0,1.0,21.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
20,aqueduct,4,0.0,,,1.0,1.0,0.0,1.0,20.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
21,arch,4,0.25,0.0,,0.75,0.75,0.0,1.0,12.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
22,archaelogical excavation,4,0.25,0.0,,0.75,0.75,0.0,1.0,21.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
25,arena hockey,4,0.0,,,1.0,1.0,0.0,1.0,14.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
26,arena performance,4,0.25,0.0,,0.75,0.75,0.0,1.0,66.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
27,armory,4,0.0,,,1.0,1.0,0.0,1.0,210.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
28,arrival gate outdoor,4,0.25,1.0,,0.75,0.75,0.0,1.0,35.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
29,art gallery,4,0.0,,,1.0,1.0,0.0,1.0,142.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
30,art school,4,0.25,0.0,,0.75,0.75,0.0,1.0,146.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
31,art studio,4,0.0,,,1.0,1.0,0.0,1.0,121.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
33,assembly line,4,0.0,,,1.0,1.0,0.0,1.0,124.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
34,athletic field outdoor,4,0.5,0.0,,0.5,0.5,0.0,1.0,34.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
35,atrium home,4,0.0,,,1.0,1.0,0.0,1.0,103.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
36,atrium public,4,0.0,,,1.0,1.0,0.0,1.0,86.75,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
37,attic,4,0.25,0.0,,0.75,0.75,0.0,1.0,110.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
39,auto factory,4,0.0,,,1.0,1.0,0.0,1.0,51.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
40,auto mechanics indoor,4,0.0,,,1.0,1.0,0.0,1.0,160.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
41,auto racing paddock,4,0.0,,,1.0,1.0,0.0,1.0,23.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
42,auto showroom,4,0.0,,,1.0,1.0,0.0,1.0,76.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
43,backstage,4,0.0,,,1.0,1.0,0.0,1.0,208.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
44,badlands,4,0.0,,,1.0,1.0,0.0,1.0,37.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
45,badminton court indoor,4,0.0,,,1.0,1.0,0.0,1.0,72.75,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
46,badminton court outdoor,4,0.0,,,1.0,1.0,0.0,1.0,41.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
47,baggage claim,4,0.0,,,1.0,1.0,0.0,1.0,79.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
48,bakery kitchen,4,0.0,,,1.0,1.0,0.0,1.0,69.75,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
49,bakery shop,4,0.25,0.0,,0.75,0.75,0.25,0.75,143.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
50,balcony exterior,4,0.0,,,1.0,1.0,0.0,1.0,62.75,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
51,balcony interior,4,0.0,,,1.0,1.0,0.0,1.0,66.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
52,ball pit,4,0.25,0.0,,0.75,0.75,0.0,1.0,136.75,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
54,bamboo forest,4,0.5,0.0,,0.5,0.5,0.5,0.5,16.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
55,bank indoor,4,0.0,,,1.0,1.0,0.0,1.0,110.75,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
56,bank outdoor,4,0.0,,,1.0,1.0,0.0,1.0,76.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
58,banquet hall,4,0.0,,,1.0,1.0,0.0,1.0,179.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
59,baptistry indoor,4,0.5,0.0,,0.5,0.5,0.25,0.75,38.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
60,baptistry outdoor,4,0.0,,,1.0,1.0,0.0,1.0,44.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
61,bar,4,0.0,,,1.0,1.0,0.0,1.0,144.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
62,barn,4,0.0,,,1.0,1.0,0.0,1.0,26.75,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
63,barndoor,4,0.25,0.0,,0.75,0.75,0.0,1.0,67.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
64,baseball field,4,0.25,0.0,,0.75,0.75,0.0,1.0,7.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
65,basement,4,0.0,,,1.0,1.0,0.0,1.0,83.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
66,basilica,4,0.25,0.0,,0.75,0.75,0.25,0.75,39.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
67,basketball court indoor,4,0.0,,,1.0,1.0,0.0,1.0,134.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
68,basketball court outdoor,4,0.25,0.0,,0.75,0.75,0.0,1.0,35.75,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
69,bathroom,4,0.0,,,1.0,1.0,0.0,1.0,182.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
70,batters box,4,0.0,,,1.0,1.0,0.0,1.0,71.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
71,batting cage indoor,4,0.0,,,1.0,1.0,0.0,1.0,121.75,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
73,bayou,4,0.0,,,1.0,1.0,0.0,1.0,43.75,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
76,beach,4,0.25,0.0,,0.75,0.75,0.0,1.0,36.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
77,beach house,4,0.0,,,1.0,1.0,0.0,1.0,33.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
78,beauty salon,4,0.25,0.0,,0.75,0.75,0.25,0.75,43.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
79,bedchamber,4,0.0,,,1.0,1.0,0.0,1.0,173.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
80,bedroom,4,0.0,,,1.0,1.0,0.0,1.0,86.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
81,beer garden,4,0.5,0.0,,0.5,0.5,0.25,0.75,16.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
82,beer hall,4,0.0,,,1.0,1.0,0.0,1.0,137.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
83,bell foundry,4,0.0,,,1.0,1.0,0.0,1.0,23.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
84,berth,4,0.0,,,1.0,1.0,0.0,1.0,128.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
86,bicycle racks,4,0.0,,,1.0,1.0,0.0,1.0,25.5,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
87,bindery,4,0.0,,,1.0,1.0,0.0,1.0,154.25,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
88,biology laboratory,4,0.0,,,1.0,1.0,0.0,1.0,242.75,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
89,bistro indoor,4,0.0,,,1.0,1.0,0.0,1.0,194.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
90,bistro outdoor,4,0.0,,,1.0,1.0,0.0,1.0,95.75,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
91,bleachers outdoor,4,0.0,,,1.0,1.0,0.0,1.0,25.0,seen-test stress-test diagnostics,covered_fidelity omitted because v1 prediction exports do not include base-model labels
