rule_id,antecedent,antecedent_text,consequent,consequent_name,support,confidence,coverage,conflict_count,antecedent_length,original_antecedent_length,source,covered_indices_sample
R0001,{'6': 0},vascular_structures=s0,3,nevus,158,0.7974683544303798,0.38256658595641646,32,1,7,boundary_high_confidence,"[7, 9, 10, 11, 12, 13, 15, 17, 18, 19, 20, 21, 23, 24, 26, 27, 28, 31, 34, 37]"
R0002,{'5': 1},blue_whitish_veil=s1,3,nevus,74,0.7702702702702703,0.1791767554479419,17,1,7,boundary_high_confidence,"[3, 12, 14, 21, 26, 29, 37, 39, 50, 54, 63, 64, 93, 94, 95, 98, 102, 103, 113, 117]"
R0003,{'5': 0},blue_whitish_veil=s0,3,nevus,92,0.717391304347826,0.22276029055690072,26,1,7,boundary_high_confidence,"[15, 17, 18, 22, 23, 25, 27, 30, 31, 32, 33, 34, 47, 48, 51, 52, 53, 56, 57, 81]"
R0004,{'3': 1},regression_structures=s1,3,nevus,246,0.7154471544715447,0.5956416464891041,70,1,7,boundary_high_confidence,"[0, 1, 7, 8, 9, 10, 11, 12, 13, 16, 18, 19, 21, 22, 24, 25, 26, 27, 28, 30]"
R0005,"{'1': 1, '4': 1, '5': 2}",streaks=s1 AND dots_and_globules=s1 AND blue_whitish_veil=s2,2,melanoma,10,0.6,0.024213075060532687,4,3,7,boundary_high_confidence,"[60, 72, 127, 156, 172, 251, 279, 296, 322, 391]"
R0006,"{'1': 0, '2': 3, '3': 0, '6': 1}",streaks=s0 AND pigmentation=s3 AND regression_structures=s0 AND vascular_structures=s1,6,vascular_lesion,15,0.2,0.03631961259079903,12,4,4,semantic_prototype,"[97, 145, 198, 202, 255, 264, 266, 290, 294, 301, 303, 305, 306, 307, 377]"
R0007,"{'0': 1, '1': 0, '2': 3, '4': 1}",pigment_network=s1 AND streaks=s0 AND pigmentation=s3 AND dots_and_globules=s1,0,basal_cell_carcinoma,61,0.16393442622950818,0.14769975786924938,51,4,4,semantic_prototype,"[1, 2, 3, 6, 7, 9, 13, 33, 43, 49, 55, 65, 71, 73, 75, 80, 85, 91, 96, 98]"
R0008,"{'1': 0, '2': 3, '4': 1, '5': 0}",streaks=s0 AND pigmentation=s3 AND dots_and_globules=s1 AND blue_whitish_veil=s0,4,other,15,0.13333333333333333,0.03631961259079903,13,4,4,semantic_prototype,"[33, 51, 56, 81, 192, 212, 234, 237, 239, 250, 264, 305, 370, 380, 398]"
R0009,"{'1': 0, '2': 3, '3': 1, '6': 1}",streaks=s0 AND pigmentation=s3 AND regression_structures=s1 AND vascular_structures=s1,5,seborrheic_keratosis,107,0.07476635514018691,0.25907990314769974,99,4,4,semantic_prototype,"[1, 8, 16, 33, 35, 36, 38, 42, 43, 47, 55, 62, 67, 76, 83, 85, 91, 93, 101, 103]"
R0010,"{'1': 0, '2': 3, '3': 1, '6': 1}",streaks=s0 AND pigmentation=s3 AND regression_structures=s1 AND vascular_structures=s1,1,dermatofibroma,107,0.037383177570093455,0.25907990314769974,103,4,4,semantic_prototype,"[1, 8, 16, 33, 35, 36, 38, 42, 43, 47, 55, 62, 67, 76, 83, 85, 91, 93, 101, 103]"
