threshold,entropy,density,gain,n_left,n_right,entropy_norm,density_norm,objective,depth,n,alpha,attribute_index
0.42356312212191133,1.572298287233827,1.0939378415466372,0.11890217874292297,153.0,260.0,0.0,0.6363636363636365,0.22272727272727275,0,413,0.65,0
0.13911362338066102,2.1586107197436695,1.094598029047948,0.05738460310331073,46.0,107.0,0.05735280703494621,0.028571428571428557,0.04727932457271503,1,153,0.65,0
0.9603667787627176,1.1674539965892567,0.79170227730439,0.026053342764522425,249.0,11.0,0.18702853860269567,0.0,0.12156855009175219,1,260,0.65,0
0.5451242250643279,1.662756769506661,0.3274488550306602,0.02844369647008893,383.0,30.0,0.0,0.1,0.034999999999999996,0,413,0.65,1
0.40363300686133546,1.6999262916896036,0.8012070189158362,0.029481332813416916,355.0,28.0,0.23079583859028335,0.09333333333333332,0.18268396175035084,1,383,0.65,1
0.6558547019958496,0.7021086541334614,2.532327011495016,0.1097388665863428,13.0,17.0,0.0,0.5555555555555555,0.1944444444444444,1,30,0.65,1
0.05107155884567061,1.666648526578535,1.2418780204384843,0.024551939398214984,43.0,370.0,0.02831388998714961,0.27272727272727265,0.11385857394619267,0,413,0.65,2
0.011102952063083649,1.520095286086608,4.878809372938482,0.05209148497160965,30.0,13.0,0.2555187177146944,0.034482758620689655,0.17815613203179276,1,43,0.65,2
0.09411831520576226,1.659491446653354,2.800216095851813,0.018135067728893395,31.0,339.0,0.0809695835131351,0.5301204819277109,0.23817239795823664,1,370,0.65,2
0.19697606905510553,1.5926965937735766,2.3323224321993656,0.09850387220317325,302.0,111.0,0.003774946730088536,0.49557522123893805,0.17590504280818586,0,413,0.65,3
0.0006569089069962464,1.5655479581655716,6.121575533108698,0.031232051901685987,56.0,246.0,0.010530618277363915,0.606060606060606,0.21896611400149862,1,302,0.65,3
0.2741912968848881,1.511131881659785,4.9584990788512275,0.07045487679224594,63.0,48.0,0.0,0.6190476190476191,0.21666666666666667,1,111,0.65,3
0.6315827250480652,1.601801459714351,2.1710486808061344,0.08939900626239883,247.0,166.0,0.0019772806349654384,0.7812500000000001,0.27472273241272754,0,413,0.65,4
0.3028174328302083,1.9422489360743598,0.43695346224749604,0.04283046049562178,26.0,221.0,0.0,0.08108108108108109,0.028378378378378376,1,247,0.65,4
0.7756952004056228,0.9743911085483513,2.96381465508172,0.05711125235069414,111.0,55.0,0.0,0.511111111111111,0.17888888888888882,1,166,0.65,4
0.1284881932735443,1.6105884584427361,2.3440322349933376,0.08061200753401376,166.0,247.0,0.0,0.6615384615384616,0.23153846153846155,0,413,0.65,5
0.04384907891287616,1.382845613535768,5.307467163310088,0.06283338737883959,92.0,74.0,0.0,0.208955223880597,0.07313432835820895,1,166,0.65,5
0.43907128177818505,1.6697565344825582,1.0501804337186729,0.051661761813090346,214.0,33.0,0.04906768071958187,0.2207792207792208,0.10916671974045548,1,247,0.65,5
0.22561237709773216,1.6007248769708518,0.9534534662755751,0.09047558900589814,374.0,39.0,0.0,0.09638554216867469,0.03373493975903614,0,413,0.65,6
0.044177156063286885,1.5312242115798633,4.829525131347416,0.045878847283933766,158.0,216.0,0.0,0.3852459016393442,0.13483606557377045,1,374,0.65,6
0.302867591381073,1.6379232589941803,6.624676764028311,0.18932879674688907,22.0,17.0,0.0,1.0,0.35,1,39,0.65,6
