scene_category,scene_leaf_examples,n_objects,n_classes,n,coverage,abstention_rate,conflict_rate,all_object_accuracy,all_object_fidelity_to_base,covered_accuracy,covered_fidelity_to_base
abbey,abbey,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
access_road,access_road,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
airfield,airfield,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
airplane_cabin,airplane_cabin,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
airport/airport,airport,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
airport/entrance,entrance,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
airport_terminal,airport_terminal,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
alcove,alcove,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
amusement_arcade,amusement_arcade,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
amusement_park,amusement_park,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
anechoic_chamber,anechoic_chamber,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
apartment_building/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
apse/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
aqueduct,aqueduct,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
arena/hockey,hockey,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
armory,armory,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
art_gallery,art_gallery,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
art_studio,art_studio,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
assembly_line,assembly_line,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
atrium/home,home,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
atrium/public,public,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
auto_factory,auto_factory,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
auto_mechanics/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
auto_racing_paddock,auto_racing_paddock,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
auto_showroom,auto_showroom,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
backstage,backstage,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
