alpha_bucket,scene_category,scene_leaf,n_images,n_classes,official_attribute_matches,train_count,val_count,test_seen_count,test_unseen_count
a,abbey,abbey,20,1,20,16,16,4,0
a,access_road,access_road,20,1,20,16,16,4,0
a,airfield,airfield,20,1,20,16,16,4,0
a,airlock,airlock,20,1,20,0,0,0,20
a,airplane_cabin,airplane_cabin,20,1,20,16,16,4,0
a,airport/airport,airport,20,1,20,16,16,4,0
a,airport/entrance,entrance,20,1,20,16,16,4,0
a,airport_terminal,airport_terminal,20,1,20,16,16,4,0
a,airport_ticket_counter,airport_ticket_counter,20,1,20,16,16,4,0
a,alcove,alcove,20,1,20,16,16,4,0
a,alley,alley,20,1,20,0,0,0,20
a,amphitheater,amphitheater,20,1,20,16,16,4,0
a,amusement_arcade,amusement_arcade,20,1,20,0,16,4,0
a,amusement_park,amusement_park,20,1,20,16,16,4,0
a,anechoic_chamber,anechoic_chamber,20,1,20,16,16,4,0
a,apartment_building/outdoor,outdoor,20,1,20,16,16,4,0
a,apse/indoor,indoor,20,1,20,16,16,4,0
a,apse/outdoor,outdoor,20,1,20,16,16,4,0
a,aquarium,aquarium,20,1,20,16,16,4,0
a,aquatic_theater,aquatic_theater,20,1,20,16,16,4,0
a,aqueduct,aqueduct,20,1,20,16,16,4,0
a,arch,arch,20,1,20,16,16,4,0
a,archaelogical_excavation,archaelogical_excavation,20,1,20,16,16,4,0
a,archive,archive,20,1,20,0,0,0,20
a,arena/basketball,basketball,20,1,20,0,0,0,20
a,arena/hockey,hockey,20,1,20,16,16,4,0
a,arena/performance,performance,20,1,20,16,16,4,0
a,armory,armory,20,1,20,16,16,4,0
a,arrival_gate/outdoor,outdoor,20,1,20,16,16,4,0
a,art_gallery,art_gallery,20,1,20,16,16,4,0
a,art_school,art_school,20,1,20,0,16,4,0
a,art_studio,art_studio,20,1,20,16,16,4,0
a,artists_loft,artists_loft,20,1,20,0,0,0,20
a,assembly_line,assembly_line,20,1,20,0,16,4,0
a,athletic_field/outdoor,outdoor,20,1,20,16,16,4,0
a,atrium/home,home,20,1,20,16,16,4,0
a,atrium/public,public,20,1,20,16,16,4,0
a,attic,attic,20,1,20,16,16,4,0
a,auditorium,auditorium,20,1,20,0,0,0,20
a,auto_factory,auto_factory,20,1,20,0,16,4,0
a,auto_mechanics/indoor,indoor,20,1,20,16,16,4,0
a,auto_racing_paddock,auto_racing_paddock,20,1,20,16,16,4,0
a,auto_showroom,auto_showroom,20,1,20,16,16,4,0
b,backstage,backstage,20,1,20,16,16,4,0
b,badlands,badlands,20,1,20,16,16,4,0
b,badminton_court/indoor,indoor,20,1,20,16,16,4,0
b,badminton_court/outdoor,outdoor,20,1,20,16,16,4,0
b,baggage_claim,baggage_claim,20,1,20,16,16,4,0
b,bakery/kitchen,kitchen,20,1,20,16,16,4,0
b,bakery/shop,shop,20,1,20,16,16,4,0
b,balcony/exterior,exterior,20,1,20,0,16,4,0
b,balcony/interior,interior,20,1,20,16,16,4,0
b,ball_pit,ball_pit,20,1,20,16,16,4,0
b,ballroom,ballroom,20,1,20,0,0,0,20
b,bamboo_forest,bamboo_forest,20,1,20,16,16,4,0
b,bank/indoor,indoor,20,1,20,16,16,4,0
b,bank/outdoor,outdoor,20,1,20,16,16,4,0
b,bank_vault,bank_vault,20,1,20,0,0,0,20
b,banquet_hall,banquet_hall,20,1,20,0,16,4,0
b,baptistry/indoor,indoor,20,1,20,0,16,4,0
b,baptistry/outdoor,outdoor,20,1,20,16,16,4,0
b,bar,bar,20,1,20,16,16,4,0
b,barn,barn,20,1,20,16,16,4,0
b,barndoor,barndoor,20,1,20,16,16,4,0
b,baseball_field,baseball_field,20,1,20,16,16,4,0
b,basement,basement,20,1,20,16,16,4,0
b,basilica,basilica,20,1,20,16,16,4,0
b,basketball_court/indoor,indoor,20,1,20,0,16,4,0
b,basketball_court/outdoor,outdoor,20,1,20,16,16,4,0
b,bathroom,bathroom,20,1,20,16,16,4,0
b,batters_box,batters_box,20,1,20,16,16,4,0
b,batting_cage/indoor,indoor,20,1,20,16,16,4,0
b,batting_cage/outdoor,outdoor,20,1,20,0,0,0,20
b,bayou,bayou,20,1,20,16,16,4,0
b,bazaar/indoor,indoor,20,1,20,0,0,0,20
b,bazaar/outdoor,outdoor,20,1,20,0,0,0,20
b,beach,beach,20,1,20,16,16,4,0
b,beach_house,beach_house,20,1,20,16,16,4,0
b,beauty_salon,beauty_salon,20,1,20,16,16,4,0
b,bedchamber,bedchamber,20,1,20,16,16,4,0
b,bedroom,bedroom,20,1,20,16,16,4,0
b,beer_garden,beer_garden,20,1,20,16,16,4,0
b,beer_hall,beer_hall,20,1,20,16,16,4,0
b,bell_foundry,bell_foundry,20,1,20,16,16,4,0
b,berth,berth,20,1,20,16,16,4,0
b,betting_shop,betting_shop,20,1,20,0,0,0,20
b,bicycle_racks,bicycle_racks,20,1,20,16,16,4,0
b,bindery,bindery,20,1,20,16,16,4,0
b,biology_laboratory,biology_laboratory,20,1,20,16,16,4,0
b,bistro/indoor,indoor,20,1,20,16,16,4,0
b,bistro/outdoor,outdoor,20,1,20,16,16,4,0
b,bleachers/outdoor,outdoor,20,1,20,16,16,4,0
b,boardwalk,boardwalk,20,1,20,16,16,4,0
b,boat_deck,boat_deck,20,1,20,16,16,4,0
b,boathouse,boathouse,20,1,20,16,16,4,0
b,bog,bog,20,1,20,0,0,0,20
b,bookstore,bookstore,20,1,20,16,16,4,0
b,booth/indoor,indoor,20,1,20,16,16,4,0
b,botanical_garden,botanical_garden,20,1,20,16,16,4,0
b,bow_window/indoor,indoor,20,1,20,0,0,0,20
b,bow_window/outdoor,outdoor,20,1,20,0,16,4,0
b,bowling_alley,bowling_alley,20,1,20,16,16,4,0
b,boxing_ring,boxing_ring,20,1,20,16,16,4,0
b,brewery/indoor,indoor,20,1,20,0,0,0,20
b,brewery/outdoor,outdoor,20,1,20,16,16,4,0
b,brickyard/outdoor,outdoor,20,1,20,16,16,4,0
b,bridge,bridge,20,1,20,16,16,4,0
b,building_complex,building_complex,20,1,20,16,16,4,0
b,building_facade,building_facade,20,1,20,16,16,4,0
b,bullpen,bullpen,20,1,20,16,16,4,0
b,bullring,bullring,20,1,20,16,16,4,0
b,burial_chamber,burial_chamber,20,1,20,16,16,4,0
b,bus_depot/outdoor,outdoor,20,1,20,0,0,0,20
b,bus_interior,bus_interior,20,1,20,16,16,4,0
b,bus_shelter,bus_shelter,20,1,20,16,16,4,0
b,bus_station/outdoor,outdoor,20,1,20,16,16,4,0
b,butchers_shop,butchers_shop,20,1,20,16,16,4,0
b,butte,butte,20,1,20,16,16,4,0
c,cabana,cabana,20,1,20,16,16,4,0
c,cabin/outdoor,outdoor,20,1,20,16,16,4,0
c,cafeteria,cafeteria,20,1,20,0,16,4,0
c,call_center,call_center,20,1,20,16,16,4,0
c,campsite,campsite,20,1,20,16,16,4,0
c,campus,campus,20,1,20,16,16,4,0
c,canal/natural,natural,20,1,20,0,0,0,20
c,canal/urban,urban,20,1,20,16,16,4,0
c,candy_store,candy_store,20,1,20,16,16,4,0
c,canteen,canteen,20,1,20,16,16,4,0
c,canyon,canyon,20,1,20,16,16,4,0
c,car_interior/backseat,backseat,20,1,20,16,16,4,0
c,car_interior/frontseat,frontseat,20,1,20,0,0,0,20
c,caravansary,caravansary,20,1,20,16,16,4,0
c,cardroom,cardroom,20,1,20,16,16,4,0
c,cargo_deck/airplane,airplane,20,1,20,16,16,4,0
c,carport/freestanding,freestanding,20,1,20,16,16,4,0
c,carport/outdoor,outdoor,20,1,20,16,16,4,0
c,carrousel,carrousel,20,1,20,16,16,4,0
c,casino/indoor,indoor,20,1,20,16,16,4,0
c,casino/outdoor,outdoor,20,1,20,0,0,0,20
c,castle,castle,20,1,20,16,16,4,0
c,catacomb,catacomb,20,1,20,16,16,4,0
c,cathedral/indoor,indoor,20,1,20,16,16,4,0
c,cathedral/outdoor,outdoor,20,1,20,16,16,4,0
c,catwalk,catwalk,20,1,20,16,16,4,0
c,cavern/indoor,indoor,20,1,20,16,16,4,0
c,cemetery,cemetery,20,1,20,0,0,0,20
c,chalet,chalet,20,1,20,16,16,4,0
c,chaparral,chaparral,20,1,20,16,16,4,0
c,chapel,chapel,20,1,20,0,16,4,0
c,checkout_counter,checkout_counter,20,1,20,0,16,4,0
c,cheese_factory,cheese_factory,20,1,20,16,16,4,0
c,chemical_plant,chemical_plant,20,1,20,16,16,4,0
c,chemistry_lab,chemistry_lab,20,1,20,0,0,0,20
c,chicken_coop/indoor,indoor,20,1,20,16,16,4,0
c,chicken_coop/outdoor,outdoor,20,1,20,16,16,4,0
c,chicken_farm/indoor,indoor,20,1,20,16,16,4,0
c,chicken_farm/outdoor,outdoor,20,1,20,16,16,4,0
c,childs_room,childs_room,20,1,20,16,16,4,0
c,church/indoor,indoor,20,1,20,0,0,0,20
c,church/outdoor,outdoor,20,1,20,16,16,4,0
c,circus_tent/indoor,indoor,20,1,20,16,16,4,0
c,circus_tent/outdoor,outdoor,20,1,20,16,16,4,0
c,city,city,20,1,20,0,16,4,0
c,classroom,classroom,20,1,20,16,16,4,0
c,clean_room,clean_room,20,1,20,16,16,4,0
c,cliff,cliff,20,1,20,16,16,4,0
c,cloister/indoor,indoor,20,1,20,0,16,4,0
c,cloister/outdoor,outdoor,20,1,20,16,16,4,0
c,closet,closet,20,1,20,16,16,4,0
c,clothing_store,clothing_store,20,1,20,16,16,4,0
c,coast,coast,20,1,20,16,16,4,0
c,cockpit,cockpit,20,1,20,16,16,4,0
c,coffee_shop,coffee_shop,20,1,20,16,16,4,0
c,computer_room,computer_room,20,1,20,0,16,4,0
c,conference_center,conference_center,20,1,20,16,16,4,0
c,conference_hall,conference_hall,20,1,20,16,16,4,0
c,conference_room,conference_room,20,1,20,16,16,4,0
c,confessional,confessional,20,1,20,16,16,4,0
c,construction_site,construction_site,20,1,20,16,16,4,0
c,control_room,control_room,20,1,20,16,16,4,0
c,control_tower/indoor,indoor,20,1,20,16,16,4,0
c,control_tower/outdoor,outdoor,20,1,20,16,16,4,0
c,convenience_store/indoor,indoor,20,1,20,16,16,4,0
c,corn_field,corn_field,20,1,20,16,16,4,0
c,corral,corral,20,1,20,0,0,0,20
c,corridor,corridor,20,1,20,16,16,4,0
c,cottage,cottage,20,1,20,0,16,4,0
c,cottage_garden,cottage_garden,20,1,20,16,16,4,0
c,courthouse,courthouse,20,1,20,16,16,4,0
c,courtroom,courtroom,20,1,20,16,16,4,0
c,courtyard,courtyard,20,1,20,16,16,4,0
c,covered_bridge/exterior,exterior,20,1,20,16,16,4,0
c,crawl_space,crawl_space,20,1,20,16,16,4,0
c,creek,creek,20,1,20,16,16,4,0
c,crevasse,crevasse,20,1,20,16,16,4,0
c,crosswalk,crosswalk,20,1,20,16,16,4,0
c,cubicle/office,office,20,1,20,0,0,0,20
c,cybercafe,cybercafe,20,1,20,16,16,4,0
d,dacha,dacha,20,1,20,16,16,4,0
d,dairy/indoor,indoor,20,1,20,16,16,4,0
d,dam,dam,20,1,20,0,16,4,0
d,darkroom,darkroom,20,1,20,0,16,4,0
d,day_care_center,day_care_center,20,1,20,16,16,4,0
d,delicatessen,delicatessen,20,1,20,0,16,4,0
d,dentists_office,dentists_office,20,1,20,16,16,4,0
d,departure_lounge,departure_lounge,20,1,20,16,16,4,0
d,desert/sand,sand,20,1,20,16,16,4,0
