Experiment,Quantity,Value,Interpretation
AwA2 Protocol A,Base predictor Top-1 accuracy,0.7115874079035499,Higher is better
AwA2 Protocol A,Base predictor Top-5 accuracy,0.9291359678499665,Higher is better
AwA2 Protocol A,Transition MAE,0.12949999789459912,Lower is better
AwA2 Protocol A,Transition RMSE,0.18263791770479734,Lower is better
AwA2 Protocol A,Mean semantic correlation,0.6828477685033985,Higher is better
AwA2 Protocol A,Rulebook coverage,0.8640321500334897,Higher means fewer abstentions
AwA2 Protocol A,Rulebook non-abstained accuracy,0.40728682170542635,Higher is better
AwA2 Protocol A,Rulebook macro-F1 on covered cases,0.3202575105323407,Higher is better
AwA2 Protocol A,Conflict rate,0.13543201607501673,Lower is usually preferred
AwA2 Protocol B,"Unseen prototype accuracy, object-weighted",0.4644256287122457,Higher is better
AwA2 Protocol B,"Unseen prototype accuracy, class-averaged",0.4843227122614289,Comparable to official class-averaged table
AwA2 Protocol B,"Unseen symbolic-template accuracy, object-weighted",0.3377985593327436,Higher is better
AwA2 Protocol B,"Unseen symbolic-template accuracy, class-averaged",0.39932463189796585,Comparable to official class-averaged table
Synthetic benchmark,Macro-F1 mean across noise levels,0.8668359108087971,Higher is better
Synthetic benchmark,Rule-recovery Jaccard mean,0.7258333333333333,Higher is better
Synthetic benchmark,Threshold-recovery error mean,0.016090776462121207,Lower is better
Synthetic benchmark,Coverage mean,0.9637666666666665,Higher means fewer abstentions
